Lum,BP-RP,Teff
0.09,1.8306,4092.57
0.238,1.5788,4337.0
1.41,1.0169,5350.0
0.163,1.6968,4238.5
0.054,2.427,3364.25
0.763,1.1155,4889.02
0.361,1.2552,5018.32
0.392,1.2532,4862.12
0.461,1.0739,5026.95
1.793,1.0361,5234.16
6.818,0.8387,5706.03
0.151,1.6634,4268.0
0.525,1.1614,4953.74
0.516,1.2309,4990.27
0.131,1.575,4292.42
0.119,1.6045,4307.75
2.138,1.0853,5042.0
1.195,0.9757,5338.0
1.278,1.0037,5327.0
0.728,1.0969,4999.36
0.034,2.296,3462.33
3.572,0.6459,6455.67
0.076,1.9017,4078.09
0.188,1.4781,4387.44
0.239,1.4017,4836.0
0.753,0.9104,5415.25
0.539,1.1389,4952.0
0.25,1.2807,5062.25
0.09,1.8343,4047.29
0.335,1.1815,4896.0
34.596,1.4016,4628.86
2.092,0.9324,5283.0
0.07,1.8607,4027.0
1.894,0.9696,5359.0
0.282,1.2848,5030.75
0.32,1.2669,5031.45
0.891,1.0055,5325.0
0.76,1.0744,5077.0
0.984,1.1254,4968.0
0.127,1.5846,4278.81
3.635,1.0256,5333.5
0.299,1.2193,4953.46
1.549,0.9602,5374.5
1.297,1.0684,5168.29
0.202,1.4834,4385.77
0.997,1.1879,4920.67
0.198,1.3778,4795.52
0.674,1.2331,4883.71
0.239,1.2906,4896.4
0.085,1.7671,3972.0
34.571,1.4754,4681.0
2.139,1.0548,5100.06
1.335,1.027,5218.39
1.054,0.8323,5753.0
0.508,1.1396,4905.62
5.121,0.8687,5815.75
0.23,1.2375,4985.68
0.116,1.6977,4227.0
0.265,1.2646,4802.12
4.158,0.7562,5945.0
1.468,1.0793,4932.05
1.853,1.0615,5058.06
0.714,1.0839,5008.49
0.778,1.1216,4928.7
0.9,1.2167,4915.0
0.073,2.025,3775.75
0.586,1.2105,4925.86
0.26,1.2394,4993.67
0.667,1.134,4977.25
1.212,0.9488,5317.0
0.549,1.3566,4770.0
0.145,1.5843,4321.0
34.595,1.3475,4718.83
8.143,1.365,4576.19
0.188,1.4604,4421.5
18.243,0.6571,6477.0
1.643,1.017,5230.54
0.256,1.3181,4894.74
1.911,1.091,5033.49
1.523,1.0476,4986.0
2.829,1.1044,5018.0
0.957,1.0802,5032.73
6.101,1.5146,4487.0
0.545,1.1073,5044.75
0.058,2.2681,3945.19
0.366,1.0929,5030.0
0.07,1.7953,4051.25
7.139,1.39,4666.71
0.082,1.831,4054.5
1.144,0.9633,5220.0
1.171,1.1039,4975.74
1.63,0.8382,5713.0
0.217,1.3511,4877.0
0.193,1.5109,4435.04
0.479,1.1861,4950.31
0.182,1.5253,4344.89
0.136,1.6484,4333.0
0.049,2.2652,3620.62
1.78,1.0022,5209.21
0.216,1.3679,4989.0
0.406,1.266,4908.5
1.942,1.1155,4981.85
0.365,1.3585,4720.55
0.192,1.2911,4747.41
2.568,1.233,4844.0
0.089,1.6676,4327.0
0.119,1.8308,4073.0
0.165,1.7247,4068.45
1.863,1.1076,5018.0
1.108,1.1358,4961.0
1.254,0.926,5570.05
3.533,0.8605,5737.4
1.464,0.8452,5775.5
0.798,1.0211,5087.0
1.829,0.744,5974.67
1.213,0.9016,5486.06
