,wavelength,total,iron,iron_br,iron_na,iron_uv,continuum
0,1216.1,50309670.99759546,0.0,0.0,0.0,0.0,15055711.394620933
1,1216.5,47724112.945094645,0.0,0.0,0.0,0.0,15056880.989090992
2,1216.9,46006180.87507646,0.0,0.0,0.0,0.0,15058050.289861854
3,1217.3,39464054.74260475,0.0,0.0,0.0,0.0,15059219.29710378
4,1217.7,31429693.048036925,0.0,0.0,0.0,0.0,15060388.01098686
5,1218.1,32712965.19407749,0.0,0.0,0.0,0.0,15061556.431681052
6,1218.5,35171061.15335571,0.0,0.0,0.0,0.0,15062724.559356142
7,1218.9,34843457.54947151,0.0,0.0,0.0,0.0,15063892.394181766
8,1219.3,34070062.78330288,0.0,0.0,0.0,0.0,15065059.936327413
9,1219.7,33236953.93538669,0.0,0.0,0.0,0.0,15066227.18596241
10,1220.1,32750621.055762973,0.0,0.0,0.0,0.0,15067394.143255934
11,1220.5,32170720.59339785,0.0,0.0,0.0,0.0,15068560.808377013
12,1220.9,31680098.974694524,0.0,0.0,0.0,0.0,15069727.181494512
13,1221.3,31055319.76038862,0.0,0.0,0.0,0.0,15070893.26277715
14,1221.7,30889887.931972448,0.0,0.0,0.0,0.0,15072059.052393494
15,1222.1,27952025.64813287,0.0,0.0,0.0,0.0,15073224.550511956
16,1222.5,30439133.5647556,0.0,0.0,0.0,0.0,15074389.757300794
17,1222.9,30455105.19724427,0.0,0.0,0.0,0.0,15075554.67292812
18,1223.3,30056206.648474038,0.0,0.0,0.0,0.0,15076719.297561886
19,1223.7,29956990.53911027,0.0,0.0,0.0,0.0,15077883.6313699
20,1224.1,28985382.12316567,0.0,0.0,0.0,0.0,15079047.67451981
21,1224.5,29348152.934939872,0.0,0.0,0.0,0.0,15080211.427179122
22,1224.9,29103412.34563862,0.0,0.0,0.0,0.0,15081374.889515184
23,1225.3,28947379.06015161,0.0,0.0,0.0,0.0,15082538.061695196
24,1225.7,28605453.633308955,0.0,0.0,0.0,0.0,15083700.943886204
25,1226.1,27912465.74125408,0.0,0.0,0.0,0.0,15084863.536255108
26,1226.5,28790290.48627464,0.0,0.0,0.0,0.0,15086025.838968655
27,1226.9,28196089.69153357,0.0,0.0,0.0,0.0,15087187.852193443
28,1227.3,28116535.38363484,0.0,0.0,0.0,0.0,15088349.576095914
29,1227.7,28182339.49362079,0.0,0.0,0.0,0.0,15089511.01084237
30,1228.1,28318498.69967548,0.0,0.0,0.0,0.0,15090672.156598954
31,1228.5,28615535.28180516,0.0,0.0,0.0,0.0,15091833.013531666
32,1228.9,27649218.993355867,0.0,0.0,0.0,0.0,15092993.581806356
33,1229.3,28136449.681515504,0.0,0.0,0.0,0.0,15094153.861588718
34,1229.7,28415241.52704431,0.0,0.0,0.0,0.0,15095313.853044309
35,1230.1,28428338.30683694,0.0,0.0,0.0,0.0,15096473.556338524
36,1230.5,28334829.113130085,0.0,0.0,0.0,0.0,15097632.97163662
37,1230.9,27750912.30889075,0.0,0.0,0.0,0.0,15098792.099103697
38,1231.3,27880149.95889271,0.0,0.0,0.0,0.0,15099950.93890471
39,1231.7,28557426.847986005,0.0,0.0,0.0,0.0,15101109.491204476
40,1232.1,27908340.18509776,0.0,0.0,0.0,0.0,15102267.756167646
41,1232.5,28405446.896389063,0.0,0.0,0.0,0.0,15103425.733958734
42,1232.9,28800356.09042249,0.0,0.0,0.0,0.0,15104583.424742106
43,1233.3,28358446.16009097,0.0,0.0,0.0,0.0,15105740.82868198
44,1233.7,29093599.132965256,0.0,0.0,0.0,0.0,15106897.945942426
45,1234.1,28843270.498585414,0.0,0.0,0.0,0.0,15108054.776687361
46,1234.5,29459145.98362349,0.0,0.0,0.0,0.0,15109211.321080571
47,1234.9,28706731.008487597,0.0,0.0,0.0,0.0,15110367.579285681
48,1235.3,29066337.854734223,0.0,0.0,0.0,0.0,15111523.55146617
49,1235.7,28935897.49510474,0.0,0.0,0.0,0.0,15112679.237785382
50,1236.1,27973310.92414637,0.0,0.0,0.0,0.0,15113834.638406502
51,1236.5,29200029.336523805,0.0,0.0,0.0,0.0,15114989.753492583
52,1236.9,27994442.44453626,0.0,0.0,0.0,0.0,15116144.583206514
53,1237.3,27737620.240556512,0.0,0.0,0.0,0.0,15117299.127711052
54,1237.7,28039958.549977902,0.0,0.0,0.0,0.0,15118453.387168812
55,1238.1,27611181.69013816,0.0,0.0,0.0,0.0,15119607.361742245
56,1238.5,27294224.75975518,0.0,0.0,0.0,0.0,15120761.051593676
57,1238.9,27528914.483842283,0.0,0.0,0.0,0.0,15121914.45688528
58,1239.3,26727192.893394653,0.0,0.0,0.0,0.0,15123067.577779079
59,1239.7,27177993.185716428,0.0,0.0,0.0,0.0,15124220.41443696
60,1240.1,26335100.180835083,0.0,0.0,0.0,0.0,15125372.967020663
61,1240.5,25979384.57617057,0.0,0.0,0.0,0.0,15126525.235691784
62,1240.9,26709485.283778973,0.0,0.0,0.0,0.0,15127677.22061177
63,1241.3,25532669.050770946,0.0,0.0,0.0,0.0,15128828.92194193
64,1241.7,25910864.151796125,0.0,0.0,0.0,0.0,15129980.339843431
65,1242.1,25542350.1971566,0.0,0.0,0.0,0.0,15131131.47447729
66,1242.5,25079399.574667983,0.0,0.0,0.0,0.0,15132282.326004384
67,1242.9,24419832.87378134,0.0,0.0,0.0,0.0,15133432.89458545
68,1243.3,23996537.543202978,0.0,0.0,0.0,0.0,15134583.180381075
69,1243.7,23100521.81725971,0.0,0.0,0.0,0.0,15135733.183551708
70,1244.1,22889541.251214314,0.0,0.0,0.0,0.0,15136882.904257657
71,1244.5,22617898.667518407,0.0,0.0,0.0,0.0,15138032.342659086
72,1244.9,22478020.03029512,0.0,0.0,0.0,0.0,15139181.49891601
73,1245.3,21962328.159536213,0.0,0.0,0.0,0.0,15140330.373188311
74,1245.7,21727692.292539112,0.0,0.0,0.0,0.0,15141478.965635726
75,1246.1,21547599.76241749,0.0,0.0,0.0,0.0,15142627.276417851
76,1246.5,21018573.59111628,0.0,0.0,0.0,0.0,15143775.305694139
77,1246.9,20860768.329463508,0.0,0.0,0.0,0.0,15144923.053623902
78,1247.3,20496230.76759746,0.0,0.0,0.0,0.0,15146070.52036631
79,1247.7,20585398.160885025,0.0,0.0,0.0,0.0,15147217.706080394
80,1248.1,20252869.49061972,0.0,0.0,0.0,0.0,15148364.610925041
81,1248.5,20058855.18035348,0.0,0.0,0.0,0.0,15149511.235059002
82,1248.9,20071063.2538676,0.0,0.0,0.0,0.0,15150657.578640882
83,1249.3,19997597.04230453,0.0,0.0,0.0,0.0,15151803.641829152
84,1249.7,19861371.92667956,0.0,0.0,0.0,0.0,15152949.424782133
85,1250.1,19696059.657233298,405908.92621031625,0.0,0.0,405908.92621031625,15154094.927658018
86,1250.5,19830490.103244603,1896243.8361016333,0.0,0.0,1896243.8361016333,15155240.150614852
87,1250.9,19890650.020025555,5351993.804216177,0.0,0.0,5351993.804216177,15156385.093810543
88,1251.3,19227978.187343977,3804582.009431152,0.0,0.0,3804582.009431152,15157529.757402854
89,1251.7,19335614.06975435,3196501.932545095,0.0,0.0,3196501.932545095,15158674.141549423
90,1252.1,19186261.79607553,2390991.849712126,0.0,0.0,2390991.849712126,15159818.246407732
91,1252.5,19317627.421268664,3530173.720958015,0.0,0.0,3530173.720958015,15160962.072135136
92,1252.9,19081808.91768493,7954141.010324198,0.0,0.0,7954141.010324198,15162105.61888884
93,1253.3,18685440.89632565,9670835.380605184,0.0,0.0,9670835.380605184,15163248.886825923
94,1253.7,18921183.27313889,14057293.192350164,0.0,0.0,14057293.192350164,15164391.876103317
95,1254.1,18451396.881084383,18227312.10905488,0.0,0.0,18227312.10905488,15165534.586877817
96,1254.5,18868501.97624408,18544656.627838,0.0,0.0,18544656.627838,15166677.019306082
97,1254.9,18498780.502286512,15865787.306917382,0.0,0.0,15865787.306917382,15167819.173544629
